,lane_num_shift,lanechange,x
41851,4,right turn,110
42076,3,left turn,110
42232,3,right turn,40
42258,4,right turn,110
42445,1,right turn,-100
42546,2,right turn,-90
42600,3,right turn,40
42626,4,right turn,110
42784,3,right turn,40
42829,4,right turn,110
43048,5,left turn,0
43068,4,left turn,30
43102,3,left turn,100
43150,2,left turn,70
43587,1,right turn,-100
43788,2,left turn,-100
43998,1,right turn,-100
44370,5,left turn,0
44435,4,right turn,110
44676,3,right turn,40
44702,4,right turn,110
44857,3,right turn,40
44883,4,right turn,110
45097,1,right turn,-100
45297,2,right turn,-100
45396,3,left turn,-30
45475,2,right turn,-10
45495,3,right turn,40
45522,4,right turn,110
45680,3,right turn,40
45708,4,right turn,110
45914,2,right turn,-100
46089,3,right turn,40
46115,4,right turn,110
46441,5,left turn,0
46458,4,left turn,30
46533,3,left turn,170
46547,2,left turn,-100
46719,5,left turn,0
46746,4,left turn,40
47022,1,right turn,-100
47142,2,left turn,-100
47342,5,left turn,0
47408,4,right turn,110
47774,1,right turn,-100
47874,2,right turn,-100
47996,3,left turn,-100
48095,2,left turn,-50
48289,3,left turn,-100
48624,2,right turn,-100
48801,3,right turn,40
48835,4,right turn,110
49005,2,right turn,-100
49060,3,right turn,40
49088,4,right turn,110
49448,5,left turn,40
49474,4,right turn,110
49632,3,right turn,40
49658,4,right turn,110
49819,3,right turn,40
49853,4,right turn,110
50040,5,left turn,0
50067,4,left turn,50
50602,1,right turn,-100
50803,5,left turn,0
50867,4,right turn,110
51159,1,right turn,-60
51346,2,right turn,-30
51375,3,right turn,40
51401,4,right turn,110
51555,3,right turn,40
51583,4,right turn,110
51912,2,right turn,-100
51966,3,right turn,40
51993,4,right turn,110
52208,1,right turn,-100
52307,2,left turn,-100
52534,3,left turn,180
52820,2,right turn,-100
52878,3,right turn,40
52906,4,right turn,110
53112,2,right turn,-100
53168,3,right turn,40
53194,4,right turn,110
53735,5,left turn,0
53787,4,left turn,70
54326,1,right turn,-100
54527,2,left turn,-100
54736,5,left turn,0
54801,4,right turn,110
54900,2,left turn,-100
55268,3,left turn,80
55420,4,right turn,110
55824,2,right turn,-100
55999,3,right turn,40
56027,4,right turn,110
56236,2,right turn,-80
56283,3,right turn,40
56309,4,right turn,110
56467,3,right turn,40
56495,4,right turn,110
56656,3,right turn,40
56689,4,right turn,110
56853,3,right turn,40
56881,4,right turn,110
57088,2,right turn,-100
57319,5,left turn,0
57361,4,left turn,50
57895,1,right turn,-100
58095,2,left turn,-100
58392,1,right turn,-100
58637,2,right turn,-100
58692,3,right turn,40
58718,4,right turn,110
58935,5,left turn,0
58999,4,right turn,110
59284,3,left turn,-100
59488,2,left turn,-100
59708,3,left turn,-100
59807,2,right turn,-100
59862,3,right turn,40
59895,4,right turn,110
60086,2,right turn,-10
60350,3,right turn,40
60379,4,right turn,110
60547,3,right turn,40
60575,4,right turn,110
60787,2,right turn,-100
60841,3,right turn,40
60870,4,right turn,110
61105,5,left turn,0
61137,4,left turn,40
61223,3,left turn,170
61244,2,left turn,-100
61492,1,right turn,-100
61596,2,left turn,-100
61992,1,right turn,-100
62091,2,left turn,-100
62191,1,right turn,130
62215,2,right turn,-100
62271,3,right turn,40
62297,4,right turn,110
62780,2,right turn,-100
62836,3,right turn,40
62866,4,right turn,110
62995,3,right turn,40
63022,4,right turn,110
63249,2,right turn,-100
63304,3,right turn,40
63330,4,right turn,110
63530,5,left turn,0
63556,4,left turn,40
63690,3,right turn,40
63717,4,right turn,110
63885,3,left turn,-100
63984,2,right turn,-100
